SessionID,SceneName,TotalTimeSeconds,Step 1 Time,Step 2 Time,Step 3 Time,Step 4 Time,Step 5 Time,Step 6 Time,Step 7 Time,Step 8 Time,Step 9 Time,Step 1 False Grabs,Step 2 False Grabs,Step 3 False Grabs,Step 4 False Grabs,Step 5 False Grabs,Step 6 False Grabs,Step 7 False Grabs,Step 8 False Grabs,Step 9 False Grabs,StepTimeSum,TimeStepDiff,AbsTimeStepDiff,TimingWithinRecordedPrecision,FalseGrabsTotal
S001,chrono_scene 1,28.113,0,0.919,3.25,5.573,4.651,5.011,5.588,3.121,0.0,0,0,2,0,0,0,0,0,0,28.113,0.0,0.0,True,2
S002,chrono_scene 2,30.547,0,1.234,3.51,5.892,4.823,5.234,5.901,4.456,0.012,1,0,2,1,0,0,0,0,0,31.061999999999998,-0.514999999999997,0.514999999999997,False,4
S003,chrono_scene,25.201,0,1.958,3.651,4.111,2.679,8.468,1.764,2.557,0.013,0,0,1,0,0,0,0,0,0,25.200999999999997,3.552713678800501e-15,3.552713678800501e-15,True,1
S004,chrono_scene 1,74.116,0,7.583,17.301,9.901,4.126,21.844,0.862,12.499,0.0,0,0,2,0,0,0,0,0,0,74.116,0.0,0.0,True,2
S005,chrono_scene,56.558,0,6.048,1.51,5.766,4.152,8.094,8.027,17.961,0.0,0,0,1,0,0,1,0,0,0,51.558,5.0,5.0,False,2
S006,chrono_scene 2,48.558,0,4.048,5.51,5.766,5.152,8.094,2.027,17.961,0.0,0,0,1,0,0,1,0,0,0,48.558,0.0,0.0,True,2
S007,chrono_scene 2,106.899,0,31.167,17.833,11.093,14.491,19.025,4.542,8.734,0.013,0,0,16,0,5,1,0,0,0,106.89800000000001,0.000999999999990564,0.000999999999990564,True,22
S008,chrono_scene,59.626,0,8.58,14.789,6.972,7.541,4.89,12.811,4.028,0.015,0,0,2,0,2,1,0,0,0,59.626000000000005,-7.105427357601002e-15,7.105427357601002e-15,True,5
S009,chrono_scene 1,53.627,0,5.58,17.789,4.972,4.541,3.89,13.811,3.028,0.015,0,0,0,0,2,1,0,0,0,53.626000000000005,0.0009999999999976694,0.0009999999999976694,True,3
S010,chrono_scene,61.203,0,5.736,0.681,27.614,3.542,5.5,9.666,8.463,0.0,0,0,0,1,0,3,0,0,0,61.202000000000005,0.0009999999999976694,0.0009999999999976694,True,4
S011,chrono_scene 1,19.097,0,0.126,0.278,0.127,10.484,1.042,1.722,5.304,0.014,0,0,0,0,2,0,0,0,0,19.096999999999998,3.552713678800501e-15,3.552713678800501e-15,True,2
S012,chrono_scene 2,36.5,0,4.377,4.318,3.043,11.709,4.261,4.332,4.46,0.0,0,0,0,0,2,0,0,0,0,36.5,0.0,0.0,True,2
S013,chrono_scene 1,122.237,0,48.673,7.412,7.043,5.14,10.966,3.116,36.858,0.029,0,0,0,0,0,2,0,1,0,119.237,3.0,3.0,False,3
S014,chrono_scene,71.611,0,16.673,4.412,7.043,8.514,16.966,4.116,10.858,0.029,0,0,0,0,0,2,0,1,0,68.61099999999999,3.000000000000014,3.000000000000014,False,3
S015,chrono_scene 2,94.611,0,36.673,4.412,5.043,5.514,13.966,3.116,25.858,0.029,0,0,0,0,0,2,0,1,0,94.611,0.0,0.0,True,3
S016,chrono_scene,85.735,0,4.542,6.985,8.61,4.683,32.387,16.766,11.748,0.014,0,0,0,0,1,4,0,0,0,85.735,0.0,0.0,True,5
S017,chrono_scene 1,55.402,0,5.644,4.174,2.542,6.918,11.263,3.66,21.189,0.012,0,0,1,0,2,2,0,2,0,55.40200000000001,-7.105427357601002e-15,7.105427357601002e-15,True,7
S018,chrono_scene 2,59.424,0,3.436,5.354,3.349,13.899,14.248,13.641,5.484,0.013,0,0,1,0,3,1,1,0,0,59.42399999999999,7.105427357601002e-15,7.105427357601002e-15,True,6
