View,Group,Metric,Unit,n,Mean,SD,SE,CI95_low,CI95_high,Median,IQR,Min,Max
Chronological run,Run 1,TotalTimeSeconds,s,12,101.06225,41.10268808091842,11.865324013967737,74.94667184525701,127.177828154743,101.14500000000001,49.00949999999999,28.113,180.286
Chronological run,Run 1,FalseGrabsTotal,count,12,5.666666666666667,7.352591792055781,2.122510425192419,0.9950212208181526,10.338312112515181,3.0,3.0,0.0,22.0
Chronological run,Run 2,TotalTimeSeconds,s,12,65.56891666666667,31.016165044752604,8.953595618908889,45.86205270944821,85.27578062388513,58.092,45.44874999999999,19.097,116.095
Chronological run,Run 2,FalseGrabsTotal,count,12,3.0,2.1320071635561044,0.6154574548966637,1.6453781417724431,4.354621858227556,2.5,2.5,0.0,7.0
Chronological run,Run 3,TotalTimeSeconds,s,12,67.53658333333333,34.4559384549399,9.946572671070365,45.644176884307456,89.4289897823592,56.5255,45.04449999999999,25.201,128.124
Chronological run,Run 3,FalseGrabsTotal,count,12,2.25,1.815338686155987,0.5240431395612504,1.0965810498256878,3.403418950174312,2.0,2.0,0.0,6.0
Scene condition,Guided,TotalTimeSeconds,s,12,72.42433333333334,34.7857994363252,10.041795334269343,50.322341802606516,94.52632486406016,81.156,48.13225,19.097,122.237
Scene condition,Guided,FalseGrabsTotal,count,12,2.9166666666666665,1.880924981991251,0.5429762723390704,1.7215758912483725,4.1117574420849605,2.5,1.75,1.0,7.0
Scene condition,Autonomous,TotalTimeSeconds,s,12,78.56441666666667,38.52448544511147,11.121061021063465,54.08696135930599,103.04187197402736,66.40700000000001,54.123999999999995,25.201,150.596
Scene condition,Autonomous,FalseGrabsTotal,count,12,2.6666666666666665,1.9694638556693238,0.5685352436149612,1.4153205954701369,3.9180127378631964,2.0,2.5,0.0,6.0
Scene condition,Stress,TotalTimeSeconds,s,12,83.179,44.1494098076479,12.74483681850431,55.127614162472014,111.23038583752799,69.95949999999999,59.12050000000001,30.547,180.286
Scene condition,Stress,FalseGrabsTotal,count,12,5.333333333333333,7.535773270731996,2.1753903632045524,0.5452991439201131,10.121367522746553,2.5,3.0,0.0,22.0
Subjective condition,Guided,Workload,0-10,12,2.9,1.4758664635331402,0.42604595000439976,1.962272864040316,3.8377271359596836,3.0,2.25,1.0,6.0
Subjective condition,Guided,PerceivedPerformance,0-10,12,7.583333333333333,1.6213537179739277,0.4680445027619239,6.553167382754339,8.613499283912327,8.0,2.25,5.0,10.0
Subjective condition,Guided,LearningAutonomy,1-5,12,4.333333333333333,0.7945521577046603,0.2293674510679918,3.828495573532683,4.838171093133983,4.583333333333334,0.7916666666666661,2.3333333333333335,5.0
Subjective condition,Guided,PresenceRealism,1-7,12,6.300000000000001,0.726135474462395,0.2096172558245002,5.838632419930276,6.7613675800697255,6.4,1.0499999999999998,4.6,7.0
Subjective condition,Guided,ComfortSymptoms,0-3,12,0.4305555555555555,0.5749762108971493,0.16598133506955012,0.06523063706747567,0.7958804740436354,0.3333333333333333,0.5,0.0,2.0
Subjective condition,Guided,GuidanceAdaptation,1-5,12,4.016666666666667,0.8962886439832501,0.25873624493766706,3.4471881915588614,4.586145141774471,4.0,1.4999999999999996,2.6,5.0
Subjective condition,Guided,StressRating,1-5,12,1.5,1.243163121016122,0.3588702812826367,0.7101265108969166,2.2898734891030834,1.0,0.0,1.0,5.0
Subjective condition,Guided,Acceptance,1-5,12,4.666666666666667,0.5860327153276884,0.16917307297418413,4.294316733050488,5.039016600282846,5.0,0.4166666666666661,3.0,5.0
Subjective condition,Autonomous,Workload,0-10,12,2.5833333333333335,1.7023157133383888,0.49141621767082433,1.501726238239849,3.664940428426818,2.3,1.25,0.6,6.4
Subjective condition,Autonomous,PerceivedPerformance,0-10,12,7.083333333333333,2.2343733444579583,0.6450080259464633,5.663670668225167,8.502995998441499,7.5,1.25,1.0,10.0
Subjective condition,Autonomous,LearningAutonomy,1-5,12,4.902777777777778,0.1114263205702536,0.03216600808802273,4.83198039397604,4.973575161579515,4.916666666666666,0.16666666666666696,4.666666666666667,5.0
Subjective condition,Autonomous,PresenceRealism,1-7,12,6.616666666666666,0.42175678759065377,0.12175069742400789,6.348693381636425,6.884639951696908,6.699999999999999,0.6999999999999993,6.0,7.0
Subjective condition,Autonomous,ComfortSymptoms,0-3,12,0.3333333333333333,0.26590801173915524,0.07676103107863973,0.16438230392924727,0.5022843627374194,0.3333333333333333,0.16666666666666666,0.0,1.0
Subjective condition,Autonomous,GuidanceAdaptation,1-5,12,4.683333333333334,0.35632807491088453,0.10286305498481016,4.456931749311766,4.909734917354901,4.8,0.5,4.0,5.0
Subjective condition,Autonomous,StressRating,1-5,12,1.5,1.1677484162422844,0.3370999312316211,0.758043051359202,2.241956948640798,1.0,0.25,1.0,5.0
Subjective condition,Autonomous,Acceptance,1-5,12,4.888888888888889,0.2958751215328648,0.08541179053175638,4.700897537928493,5.076880239849285,5.0,0.0,4.0,5.0
Subjective condition,Stress,Workload,0-10,12,2.0,1.9632996344280855,0.5667557862184746,0.7525705145331374,3.2474294854668626,1.7,1.75,0.0,7.4
Subjective condition,Stress,PerceivedPerformance,0-10,12,7.916666666666667,0.9962049198956219,0.2875795893348834,7.283703990540588,8.549629342792745,8.0,0.25,6.0,10.0
Subjective condition,Stress,LearningAutonomy,1-5,12,4.958333333333333,0.10359692675134347,0.02990585677355305,4.892510542574743,5.024156124091923,5.0,0.0,4.666666666666667,5.0
Subjective condition,Stress,PresenceRealism,1-7,12,6.6000000000000005,0.4972652484064489,0.14354811251305472,6.284050604358767,6.915949395641234,6.9,0.7999999999999998,5.6,7.0
Subjective condition,Stress,ComfortSymptoms,0-3,12,0.3888888888888889,0.3646870343138525,0.10527607871553453,0.1571762396359974,0.6206015381417804,0.25,0.24999999999999997,0.0,1.1666666666666667
Subjective condition,Stress,GuidanceAdaptation,1-5,12,4.533333333333333,0.5348463387372172,0.15439683882250907,4.193505891084991,4.873160775581676,4.8,0.8499999999999996,3.6,5.0
Subjective condition,Stress,StressRating,1-5,12,1.5833333333333333,1.3789543689024493,0.3980698380430198,0.7071816198006466,2.45948504686602,1.0,0.0,1.0,5.0
Subjective condition,Stress,Acceptance,1-5,12,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
